model_id,name,organization,organization_id,organization_country,params,context,canonical_model_id,release_date,announcement_date,multimodal,license,knowledge_cutoff,input_price,output_price,throughput,latency,aime_2025_score,hle_score,gpqa_score,swe_bench_verified_score,mmmu_score,model_name_list,org_name_list
claude-3-5-haiku-20241022,Claude 3.5 Haiku,Anthropic,anthropic,US,,200000.0,,2024-10-22,2024-10-22,False,proprietary,,0.80000000000000000000,4.0000000000000000,104.0,,,,0.416,0.406,,Claude 3.5 Haiku,Anthropic
claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,anthropic,US,,200000.0,,2024-06-21,2024-06-21,True,proprietary,,3.0000000000000000,15.0000000000000000,101.0,,,,0.594,,,Claude 3.5 Sonnet,Anthropic
claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,Anthropic,anthropic,US,,200000.0,,2024-10-22,2024-10-22,True,proprietary,,3.0000000000000000,15.0000000000000000,42.0,,,,0.672,0.49,0.683,Claude 3.5 Sonnet,Anthropic
claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,Anthropic,anthropic,US,,200000.0,,2025-02-24,2025-02-24,True,proprietary,,3.0000000000000000,15.0000000000000000,101.0,,0.548,,0.848,0.703,0.75,Claude 3.7 Sonnet,Anthropic
claude-3-haiku-20240307,Claude 3 Haiku,Anthropic,anthropic,US,,200000.0,,2024-03-13,2024-03-13,True,proprietary,,0.25000000000000000000,1.25000000000000000000,104.0,,,,0.333,,,Claude 3 Haiku,Anthropic
claude-3-opus-20240229,Claude 3 Opus,Anthropic,anthropic,US,,200000.0,,2024-02-29,2024-02-29,True,proprietary,,15.0000000000000000,75.0000000000000000,100.0,,,,0.504,,,Claude 3 Opus,Anthropic
claude-3-sonnet-20240229,Claude 3 Sonnet,Anthropic,anthropic,US,,200000.0,,2024-02-29,2024-02-29,True,proprietary,,3.0000000000000000,15.0000000000000000,100.0,,,,0.404,,,Claude 3 Sonnet,Anthropic
claude-haiku-4-5-20251001,Claude Haiku 4.5,Anthropic,anthropic,US,,200000.0,,2025-10-15,2025-10-15,True,proprietary,2025-02-01,1.00000000000000000000,5.0000000000000000,100.0,,0.807,,0.73,0.733,,Claude Haiku 4.5,Anthropic
claude-opus-4-1-20250805,Claude Opus 4.1,Anthropic,anthropic,US,,200000.0,,2025-08-05,2025-08-05,True,proprietary,,15.0000000000000000,75.0000000000000000,42.0,,0.78,,0.809,0.745,,Claude Opus 4.1,Anthropic
claude-opus-4-20250514,Claude Opus 4,Anthropic,anthropic,US,,200000.0,,2025-05-22,2025-05-22,True,proprietary,,15.0000000000000000,75.0000000000000000,42.0,,0.755,,0.796,0.725,,Claude Opus 4,Anthropic
claude-opus-4-5-20251101,Claude Opus 4.5,Anthropic,anthropic,US,,200000.0,,2025-11-24,2025-11-24,True,proprietary,2025-03-31,5.0000000000000000,25.0000000000000000,42.0,,,,0.87,0.809,,Claude Opus 4.5,Anthropic
claude-sonnet-4-20250514,Claude Sonnet 4,Anthropic,anthropic,US,,200000.0,,2025-05-22,2025-05-22,True,proprietary,,3.0000000000000000,15.0000000000000000,42.0,,0.705,,0.754,0.727,0.744,Claude Sonnet 4,Anthropic
claude-sonnet-4-5-20250929,Claude Sonnet 4.5,Anthropic,anthropic,US,,200000.0,,2025-09-29,2025-09-29,True,proprietary,2025-01-31,3.0000000000000000,15.0000000000000000,42.0,,0.87,,0.834,,,Claude Sonnet 4.5,Anthropic
codestral-22b,Codestral-22B,Mistral AI,mistral,FR,22200000000.0,,,2024-05-29,2024-05-29,False,mnpl_0_1,,,,,,,,,,,Codestral-22B,Mistral AI
command-r-plus-04-2024,Command R+,Cohere,cohere,CA,104000000000.0,128000.0,,2024-08-30,2024-08-30,False,cc_by_nc,,0.25000000000000000000,1.00000000000000000000,59.0,,,,,,,Command R+,Cohere
deepseek-chat,DeepSeek-V3.2 (Non-thinking),DeepSeek,deepseek,CN,685000000000.0,131072.0,,2025-12-01,2025-12-01,False,mit,,0.28000000000000000000,0.42000000000000000000,100.0,,,,,,,DeepSeek-V3.2 (Non-thinking),DeepSeek
deepseek-r1,DeepSeek-R1,DeepSeek,deepseek,CN,671000000000.0,131072.0,,2025-01-20,2025-01-20,False,mit,,0.55000000000000000000,2.1900000000000000,9.0,,,,,,,DeepSeek-R1,DeepSeek
deepseek-r1-0528,DeepSeek-R1-0528,DeepSeek,deepseek,CN,671000000000.0,131072.0,,2025-05-28,2025-05-28,False,mit,,0.50000000000000000000,2.1500000000000000,45.04,,0.875,,0.81,0.446,,DeepSeek-R1-0528,DeepSeek
deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,DeepSeek,deepseek,CN,70600000000.0,128000.0,,2025-01-20,2025-01-20,False,mit,,0.10000000000000000000,0.40000000000000000000,37.0,,,,0.652,,,DeepSeek R1 Distill Llama 70B,DeepSeek
deepseek-r1-distill-llama-8b,DeepSeek R1 Distill Llama 8B,DeepSeek,deepseek,CN,8030000000.0,,,2025-01-20,2025-01-20,False,mit,,,,,,,,0.49,,,DeepSeek R1 Distill Llama 8B,DeepSeek
deepseek-r1-distill-qwen-14b,DeepSeek R1 Distill Qwen 14B,DeepSeek,deepseek,CN,14800000000.0,,,2025-01-20,2025-01-20,False,mit,,,,,,,,0.591,,,DeepSeek R1 Distill Qwen 14B,DeepSeek
deepseek-r1-distill-qwen-1.5b,DeepSeek R1 Distill Qwen 1.5B,DeepSeek,deepseek,CN,1780000000.0,,,2025-01-20,2025-01-20,False,mit,,,,,,,,0.338,,,DeepSeek R1 Distill Qwen 1.5B,DeepSeek
deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,DeepSeek,deepseek,CN,32800000000.0,128000.0,,2025-01-20,2025-01-20,False,mit,,0.12000000000000000000,0.18000000000000000000,37.0,,,,0.621,,,DeepSeek R1 Distill Qwen 32B,DeepSeek
deepseek-r1-distill-qwen-7b,DeepSeek R1 Distill Qwen 7B,DeepSeek,deepseek,CN,7620000000.0,,,2025-01-20,2025-01-20,False,mit,,,,,,,,0.491,,,DeepSeek R1 Distill Qwen 7B,DeepSeek
deepseek-r1-zero,DeepSeek R1 Zero,DeepSeek,deepseek,CN,671000000000.0,,,2025-01-20,2025-01-20,False,mit,,,,,,,,0.733,,,DeepSeek R1 Zero,DeepSeek
deepseek-reasoner,DeepSeek-V3.2 (Thinking),DeepSeek,deepseek,CN,685000000000.0,131072.0,,2025-12-01,2025-12-01,False,mit,,0.28000000000000000000,0.42000000000000000000,50.0,,0.931,0.251,,0.731,,DeepSeek-V3.2 (Thinking),DeepSeek
deepseek-v2.5,DeepSeek-V2.5,DeepSeek,deepseek,CN,236000000000.0,8192.0,,2024-05-08,2024-05-08,False,deepseek,,0.14000000000000000000,0.28000000000000000000,100.0,,,,,0.168,,DeepSeek-V2.5,DeepSeek
deepseek-v3,DeepSeek-V3,DeepSeek,deepseek,CN,671000000000.0,131072.0,,2024-12-25,2024-12-25,False,mit_+_model_license_(commercial_use_allowed),,0.27000000000000000000,1.10000000000000000000,100.0,,,,0.591,0.42,,DeepSeek-V3,DeepSeek
deepseek-v3-0324,DeepSeek-V3 0324,DeepSeek,deepseek,CN,671000000000.0,163840.0,,2025-03-25,2025-03-25,False,mit_+_model_license_(commercial_use_allowed),,0.28000000000000000000,1.14000000000000000000,,,,,0.684,,,DeepSeek-V3 0324,DeepSeek
deepseek-v3.1,DeepSeek-V3.1,DeepSeek,deepseek,CN,671000000000.0,163840.0,,2025-01-10,2025-01-10,False,mit,,0.27000000000000000000,1.00000000000000000000,,,0.498,,0.749,0.66,,DeepSeek-V3.1,DeepSeek
deepseek-v3.2-exp,DeepSeek-V3.2-Exp,DeepSeek,deepseek,CN,685000000000.0,163840.0,,2025-09-29,2025-09-29,False,mit,,0.27000000000000000000,0.41000000000000000000,,,0.893,,0.799,0.678,,DeepSeek-V3.2-Exp,DeepSeek
deepseek-v3.2-speciale,DeepSeek-V3.2-Speciale,DeepSeek,deepseek,CN,685000000000.0,131072.0,,2025-12-01,2025-12-01,False,mit,,0.28000000000000000000,0.42000000000000000000,30.0,,0.96,0.306,,0.731,,DeepSeek-V3.2-Speciale,DeepSeek
deepseek-vl2,DeepSeek VL2,DeepSeek,deepseek,CN,27000000000.0,129280.0,,2024-12-13,2024-12-13,True,deepseek,,9.5000000000000000,4800.0000000000000000,22.0,,,,,,0.511,DeepSeek VL2,DeepSeek
deepseek-vl2-small,DeepSeek VL2 Small,DeepSeek,deepseek,CN,16000000000.0,,,2024-12-13,2024-12-13,True,deepseek,,,,,,,,,,0.48,DeepSeek VL2 Small,DeepSeek
deepseek-vl2-tiny,DeepSeek VL2 Tiny,DeepSeek,deepseek,CN,3000000000.0,,,2024-12-13,2024-12-13,True,deepseek,,,,,,,,,,0.407,DeepSeek VL2 Tiny,DeepSeek
devstral-medium-2507,Devstral Medium,Mistral AI,mistral,FR,,128000.0,,2025-07-10,2025-07-10,False,proprietary,,0.40000000000000000000,2.0000000000000000,137.1,,,,,0.616,,Devstral Medium,Mistral AI
devstral-small-2507,Devstral Small 1.1,Mistral AI,mistral,FR,24000000000.0,128000.0,,2025-07-11,2025-07-11,False,apache_2_0,,0.10000000000000000000,0.30000000000000000000,137.1,,,,,0.536,,Devstral Small 1.1,Mistral AI
gemini-1.0-pro,Gemini 1.0 Pro,Google,google,US,,32760.0,,2024-02-15,2024-02-15,False,proprietary,2024-02-01,0.50000000000000000000,1.50000000000000000000,120.0,,,,0.279,,0.479,Gemini 1.0 Pro,Google
gemini-1.5-flash,Gemini 1.5 Flash,Google,google,US,,1048576.0,,2024-05-01,2024-05-01,True,proprietary,2023-11-01,0.15000000000000000000,0.60000000000000000000,150.0,,,,0.51,,0.623,Gemini 1.5 Flash,Google
gemini-1.5-flash-8b,Gemini 1.5 Flash 8B,Google,google,US,8000000000.0,1048576.0,,2024-03-15,2024-03-15,True,proprietary,2024-10-01,0.07000000000000000000,0.30000000000000000000,150.0,,,,0.384,,0.537,Gemini 1.5 Flash 8B,Google
gemini-1.5-pro,Gemini 1.5 Pro,Google,google,US,,2097152.0,,2024-05-01,2024-05-01,True,proprietary,2023-11-01,2.5000000000000000,10.0000000000000000,85.0,,,,0.591,,0.659,Gemini 1.5 Pro,Google
gemini-2.0-flash,Gemini 2.0 Flash,Google,google,US,,1048576.0,,2024-12-01,2024-12-01,True,proprietary,2024-08-01,0.10000000000000000000,0.40000000000000000000,183.0,,,,0.621,,0.707,Gemini 2.0 Flash,Google
gemini-2.0-flash-lite,Gemini 2.0 Flash-Lite,Google,google,US,,1048576.0,,2025-02-05,2025-02-05,True,proprietary,2024-06-01,0.07000000000000000000,0.30000000000000000000,85.0,,,,0.515,,0.68,Gemini 2.0 Flash-Lite,Google
gemini-2.0-flash-thinking,Gemini 2.0 Flash Thinking,Google,google,US,,,,2025-01-21,2025-01-21,True,proprietary,2024-08-01,,,,,,,0.742,,0.754,Gemini 2.0 Flash Thinking,Google
gemini-2.5-flash,Gemini 2.5 Flash,Google,google,US,,1048576.0,,2025-05-20,2025-05-20,True,proprietary,2025-01-31,0.30000000000000000000,2.5000000000000000,85.0,,0.72,,0.828,0.604,0.797,Gemini 2.5 Flash,Google
gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,Google,google,US,,1048576.0,,2025-06-17,2025-06-17,True,creative_commons_attribution_4_0_license,2025-01-01,0.10000000000000000000,0.40000000000000000000,5.69,,0.498,,0.646,0.316,0.729,Gemini 2.5 Flash-Lite,Google
gemini-2.5-pro,Gemini 2.5 Pro,Google,google,US,,1048576.0,,2025-05-20,2025-05-20,True,proprietary,2025-01-31,1.25000000000000000000,10.0000000000000000,85.0,,0.83,,0.83,0.632,0.796,Gemini 2.5 Pro,Google
gemini-2.5-pro-preview-06-05,Gemini 2.5 Pro Preview 06-05,Google,google,US,,1048576.0,,2025-06-05,2025-06-05,True,proprietary,2025-01-31,1.25000000000000000000,10.0000000000000000,85.0,,0.88,,0.864,0.672,0.82,Gemini 2.5 Pro Preview 06-05,Google
gemini-3-pro-preview,Gemini 3 Pro,Google,google,US,,1048576.0,,2025-11-18,2025-11-18,True,proprietary,2025-01-31,2.0000000000000000,12.0000000000000000,90.0,,1.0,,0.919,0.762,,Gemini 3 Pro,Google
gemini-diffusion,Gemini Diffusion,Google,google,US,,,,2025-05-20,2025-05-20,False,proprietary,,,,,,0.233,,0.404,0.229,,Gemini Diffusion,Google
gemma-2-27b-it,Gemma 2 27B,Google,google,US,27200000000.0,,,2024-06-27,2024-06-27,False,gemma,,,,,,,,,,,Gemma 2 27B,Google
gemma-2-9b-it,Gemma 2 9B,Google,google,US,9240000000.0,,,2024-06-27,2024-06-27,False,gemma,,,,,,,,,,,Gemma 2 9B,Google
gemma-3-12b-it,Gemma 3 12B,Google,google,US,12000000000.0,131072.0,,2025-03-12,2025-03-12,True,gemma,,0.05000000000000000000,0.10000000000000000000,33.0,,,,0.409,,,Gemma 3 12B,Google
gemma-3-1b-it,Gemma 3 1B,Google,google,US,1000000000.0,,,2025-03-12,2025-03-12,False,gemma,,,,,,,,0.192,,,Gemma 3 1B,Google
gemma-3-27b-it,Gemma 3 27B,Google,google,US,27000000000.0,131072.0,,2025-03-12,2025-03-12,True,gemma,,0.10000000000000000000,0.20000000000000000000,33.0,,,,0.424,,,Gemma 3 27B,Google
gemma-3-4b-it,Gemma 3 4B,Google,google,US,4000000000.0,131072.0,,2025-03-12,2025-03-12,True,gemma,2024-08-01,0.02000000000000000000,0.04000000000000000000,33.0,,,,0.308,,,Gemma 3 4B,Google
gemma-3n-e2b,Gemma 3n E2B,Google,google,US,8000000000.0,,,2025-06-26,2025-06-26,True,proprietary,2024-06-01,,,,,,,,,,Gemma 3n E2B,Google
gemma-3n-e2b-it,Gemma 3n E2B Instructed,Google,google,US,8000000000.0,,,2025-06-26,2025-06-26,True,proprietary,2024-06-01,,,,,0.067,,0.248,,,Gemma 3n E2B Instructed,Google
gemma-3n-e2b-it-litert-preview,Gemma 3n E2B Instructed LiteRT (Preview),Google,google,US,1910000000.0,,,2025-05-20,2025-05-20,True,gemma,2024-06-01,,,,,0.067,,0.248,,,Gemma 3n E2B Instructed LiteRT (Preview),Google
gemma-3n-e4b,Gemma 3n E4B,Google,google,US,8000000000.0,,,2025-06-26,2025-06-26,True,proprietary,2024-06-01,,,,,,,,,,Gemma 3n E4B,Google
gemma-3n-e4b-it,Gemma 3n E4B Instructed,Google,google,US,8000000000.0,32000.0,,2025-06-26,2025-06-26,True,proprietary,2024-06-01,20.0000000000000000,40.0000000000000000,42.09,,0.116,,0.237,,,Gemma 3n E4B Instructed,Google
gemma-3n-e4b-it-litert-preview,Gemma 3n E4B Instructed LiteRT Preview,Google,google,US,1910000000.0,,,2025-05-20,2025-05-20,True,gemma,2024-06-01,,,,,0.116,,0.237,,,Gemma 3n E4B Instructed LiteRT Preview,Google
glm-4.5,GLM-4.5,Zhipu AI,zai-org,CN,355000000000.0,131072.0,,2025-07-28,2025-07-28,False,mit,,0.40000000000000000000,1.60000000000000000000,,,,0.144,0.791,0.642,,GLM-4.5,Zhipu AI
glm-4.5-air,GLM-4.5-Air,Zhipu AI,zai-org,CN,106000000000.0,,,2025-07-28,2025-07-28,False,mit,,,,,,,0.106,0.75,0.576,,GLM-4.5-Air,Zhipu AI
glm-4.5v,GLM-4.5V,Zhipu AI,zai-org,CN,108000000000.0,131072.0,,2025-08-11,2025-08-11,True,mit,,0.60000000000000000000,2.2000000000000000,,,,,,,,GLM-4.5V,Zhipu AI
glm-4.6,GLM-4.6,Zhipu AI,zai-org,CN,357000000000.0,131072.0,,2025-09-30,2025-09-30,True,mit,,0.60000000000000000000,2.0000000000000000,85.0,,0.939,0.172,0.81,0.68,,GLM-4.6,Zhipu AI
gpt-3.5-turbo-0125,GPT-3.5 Turbo,OpenAI,openai,US,,16385.0,,2023-03-21,2023-03-21,False,proprietary,2021-09-30,0.50000000000000000000,1.50000000000000000000,90.0,,,,0.308,,0.0,GPT-3.5 Turbo,OpenAI
gpt-4-0613,GPT-4,OpenAI,openai,US,,32768.0,,2023-06-13,2023-06-13,True,proprietary,2022-12-31,30.0000000000000000,60.0000000000000000,100.0,,,,0.357,,,GPT-4,OpenAI
gpt-4.1-2025-04-14,GPT-4.1,OpenAI,openai,US,,1047576.0,,2025-04-14,2025-04-14,True,proprietary,2024-06-01,2.0000000000000000,8.0000000000000000,100.0,,0.464,,0.663,0.546,0.748,GPT-4.1,OpenAI
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,OpenAI,openai,US,,1047576.0,,2025-04-14,2025-04-14,True,proprietary,2024-05-31,0.40000000000000000000,1.60000000000000000000,150.0,,0.402,,0.65,0.236,0.727,GPT-4.1 mini,OpenAI
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,OpenAI,openai,US,,1047576.0,,2025-04-14,2025-04-14,True,proprietary,2024-05-31,0.10000000000000000000,0.40000000000000000000,200.0,,,,0.503,,0.554,GPT-4.1 nano,OpenAI
gpt-4.5,GPT-4.5,OpenAI,openai,US,,128000.0,,2025-02-27,2025-02-27,True,proprietary,,75.0000000000000000,150.0000000000000000,50.0,,,,0.695,0.38,0.752,GPT-4.5,OpenAI
gpt-4o-2024-05-13,GPT-4o,OpenAI,openai,US,,128000.0,,2024-05-13,2024-05-13,True,proprietary,,2.5000000000000000,10.0000000000000000,92.0,,,,0.536,,,GPT-4o,OpenAI
gpt-4o-2024-08-06,GPT-4o,OpenAI,openai,US,,128000.0,,2024-08-06,2024-08-06,True,proprietary,,2.5000000000000000,10.0000000000000000,132.0,,,,0.701,0.332,0.722,GPT-4o,OpenAI
gpt-4o-mini-2024-07-18,GPT-4o mini,OpenAI,openai,US,,128000.0,,2024-07-18,2024-07-18,True,proprietary,2023-10-01,0.15000000000000000000,0.60000000000000000000,92.0,,,,0.402,0.087,0.594,GPT-4o mini,OpenAI
gpt-4-turbo-2024-04-09,GPT-4 Turbo,OpenAI,openai,US,,128000.0,,2024-04-09,2024-04-09,False,proprietary,2023-12-31,10.0000000000000000,30.0000000000000000,97.0,,,,0.48,,,GPT-4 Turbo,OpenAI
gpt-5.1-2025-11-13,GPT-5.1,OpenAI,openai,US,,400000.0,,2025-11-13,2025-11-13,True,proprietary,2024-09-30,1.25000000000000000000,10.0000000000000000,100.0,,0.94,,0.881,0.763,0.854,GPT-5.1,OpenAI
gpt-5.1-codex,GPT-5.1 Codex,OpenAI,openai,US,,400000.0,,2025-11-19,2025-11-19,True,proprietary,2024-09-30,1.25000000000000000000,10.0000000000000000,50.0,,,,,0.737,,GPT-5.1 Codex,OpenAI
gpt-5.1-instant-2025-11-12,GPT-5.1 Instant,OpenAI,openai,US,,400000.0,,2025-11-12,2025-11-12,True,proprietary,,1.25000000000000000000,10.0000000000000000,100.0,,0.94,,0.881,0.763,0.854,GPT-5.1 Instant,OpenAI
gpt-5.1-thinking-2025-11-12,GPT-5.1 Thinking,OpenAI,openai,US,,400000.0,,2025-11-12,2025-11-12,True,proprietary,,1.25000000000000000000,10.0000000000000000,80.0,,0.94,,0.881,0.763,0.854,GPT-5.1 Thinking,OpenAI
gpt-5-2025-08-07,GPT-5,OpenAI,openai,US,,400000.0,,2025-08-07,2025-08-07,True,proprietary,2024-09-30,1.25000000000000000000,10.0000000000000000,100.0,,0.946,,0.857,0.749,0.842,GPT-5,OpenAI
